z	tke_res	tke_sbg	wt_res	wt_sbg	wtke_res	wtke_sbg	temp
-9.950000000000e+02	3.061056850129e-05	1.590502051840e-06	6.789696982423e-08	0.000000000000e+00	-1.314530012619e-10	7.519975614434e-11	1.013379812241e+00
-9.850000000000e+02	2.864860653062e-05	1.371901930725e-06	-2.292568410667e-07	0.000000000000e+00	-1.301795754527e-10	1.219423451104e-10	1.016832947731e+00
-9.750000000000e+02	2.324870729353e-05	1.230357952409e-06	-3.490693245567e-07	0.000000000000e+00	1.649898107026e-09	6.861645973633e-11	1.025844454765e+00
-9.650000000000e+02	2.061123996100e-05	1.161585032605e-06	-7.336879548347e-07	0.000000000000e+00	3.605910237070e-09	3.199369588702e-11	1.035555720329e+00
-9.550000000000e+02	2.159622999898e-05	1.129074576056e-06	-8.155107593666e-07	0.000000000000e+00	4.493031280361e-09	1.007003768566e-11	1.044653654099e+00
-9.450000000000e+02	2.440619937261e-05	1.128969756792e-06	-9.561581464368e-07	0.000000000000e+00	4.021446287084e-09	-5.575690516929e-12	1.054325819016e+00
-9.350000000000e+02	2.726070306380e-05	1.146413978859e-06	-9.260606361750e-07	0.000000000000e+00	2.889928740757e-09	-1.286834614561e-11	1.064155101776e+00
-9.250000000000e+02	2.890138603107e-05	1.170174641629e-06	-8.788355216893e-07	0.000000000000e+00	1.887615175278e-09	-1.397007596410e-11	1.074376463890e+00
-9.150000000000e+02	2.918326754298e-05	1.191743308482e-06	-7.444908760590e-07	0.000000000000e+00	1.267621674295e-09	-1.217170895323e-11	1.084580183029e+00
-9.050000000000e+02	2.876554208342e-05	1.209280867442e-06	-6.362474209709e-07	0.000000000000e+00	6.377741113006e-10	-8.919217794889e-12	1.094740986824e+00
-8.950000000000e+02	2.843605034286e-05	1.219762111759e-06	-5.118390618009e-07	0.000000000000e+00	-2.046279673484e-10	-4.234914068729e-12	1.104865789413e+00
-8.850000000000e+02	2.840096021828e-05	1.222372475240e-06	-5.506161642188e-07	0.000000000000e+00	-1.200292198966e-09	-3.223069868722e-13	1.114916682243e+00
-8.750000000000e+02	2.856641003746e-05	1.220788135470e-06	-6.503628924293e-07	0.000000000000e+00	-2.274621602183e-09	5.507654336941e-13	1.124976277351e+00
-8.650000000000e+02	2.877789847844e-05	1.220828949045e-06	-8.857507509674e-07	0.000000000000e+00	-2.802662768531e-09	-4.950743049022e-13	1.134998917580e+00
-8.550000000000e+02	2.885542926379e-05	1.222238211085e-06	-1.044306031872e-06	0.000000000000e+00	-2.925724773561e-09	-1.289549413433e-12	1.145037770271e+00
-8.450000000000e+02	2.885629874072e-05	1.224582661052e-06	-1.044873670253e-06	0.000000000000e+00	-3.537613535443e-09	-5.994069173301e-13	1.155032157898e+00
-8.350000000000e+02	2.897086415032e-05	1.224041511705e-06	-8.679674010637e-07	0.000000000000e+00	-3.726350783495e-09	-2.876128155083e-13	1.165067195892e+00
-8.250000000000e+02	2.913872049248e-05	1.225322876053e-06	-6.014400923959e-07	0.000000000000e+00	-2.957284417349e-09	-1.162187100029e-12	1.175088167191e+00
-8.150000000000e+02	2.916959056165e-05	1.227401298820e-06	-4.133996469591e-07	0.000000000000e+00	-2.658595121829e-09	-7.024655379953e-13	1.185086131096e+00
-8.050000000000e+02	2.909070644819e-05	1.227698589901e-06	-3.249740245792e-07	0.000000000000e+00	-2.973413737450e-09	1.720443426928e-16	1.195068955421e+00
-7.950000000000e+02	2.896868682001e-05	1.227570919582e-06	-3.214543653485e-07	0.000000000000e+00	-2.632322138041e-09	-2.562822729642e-13	1.205039978027e+00
-7.850000000000e+02	2.906977715611e-05	1.228158339472e-06	-4.721531468022e-07	0.000000000000e+00	-1.879300270957e-09	-7.454165323190e-13	1.215021610260e+00
-7.750000000000e+02	2.941752245533e-05	1.229497456734e-06	-7.214243851195e-07	0.000000000000e+00	-2.022219725006e-09	-1.257631694097e-12	1.225021481514e+00
-7.650000000000e+02	2.981944089697e-05	1.231890109921e-06	-8.632901540295e-07	0.000000000000e+00	-2.583328218009e-09	-2.855041940711e-12	1.235051631927e+00
-7.550000000000e+02	2.987621701322e-05	1.238088884747e-06	-8.036499252739e-07	0.000000000000e+00	-3.189237762768e-09	-3.162505196955e-12	1.245059013367e+00
-7.450000000000e+02	2.963705264847e-05	1.241618633685e-06	-5.805561613670e-07	0.000000000000e+00	-3.714349050554e-09	-1.885666752952e-12	1.255071520805e+00
-7.350000000000e+02	2.941115963040e-05	1.244158170266e-06	-2.486013670477e-07	0.000000000000e+00	-3.770178391704e-09	-2.160049699870e-12	1.265088319778e+00
-7.250000000000e+02	2.931940252893e-05	1.248094349648e-06	-9.578545068223e-09	0.000000000000e+00	-3.269994941490e-09	-1.958103601138e-12	1.275125384331e+00
-7.150000000000e+02	2.941935235867e-05	1.249843876394e-06	2.779908214734e-08	0.000000000000e+00	-2.370632801174e-09	3.462786426957e-13	1.285123944283e+00
-7.050000000000e+02	2.960357960546e-05	1.246933607035e-06	-7.385792599734e-08	0.000000000000e+00	-2.350060812617e-09	2.609554499572e-12	1.295115709305e+00
-6.950000000000e+02	2.991454130097e-05	1.241983682121e-06	-1.152441910790e-07	0.000000000000e+00	-3.306628304500e-09	1.272594117759e-12	1.305106520653e+00
-6.850000000000e+02	3.019581708941e-05	1.243149540642e-06	-2.393069280515e-07	0.000000000000e+00	-5.027056992901e-09	-1.673671401123e-12	1.315119028091e+00
-6.750000000000e+02	3.034723340534e-05	1.246974079550e-06	-4.781486495631e-07	0.000000000000e+00	-6.663116280947e-09	-3.056185729836e-12	1.325111389160e+00
-6.650000000000e+02	3.045182347705e-05	1.252311221833e-06	-7.835191127015e-07	0.000000000000e+00	-7.854662698037e-09	-3.537041970078e-12	1.335114598274e+00
-6.550000000000e+02	3.039554030693e-05	1.257489088857e-06	-1.023521804200e-06	0.000000000000e+00	-9.009441193086e-09	-2.952592814340e-12	1.345130562782e+00
-6.450000000000e+02	3.045649464184e-05	1.260715066564e-06	-1.134302465289e-06	0.000000000000e+00	-9.354976349130e-09	-2.235992857882e-12	1.355150580406e+00
-6.350000000000e+02	3.083573392360e-05	1.263360786652e-06	-1.050521404977e-06	0.000000000000e+00	-8.061951106697e-09	-1.688698443233e-12	1.365171313286e+00
-6.250000000000e+02	3.126584851998e-05	1.264991510652e-06	-8.998205203170e-07	0.000000000000e+00	-6.299039512214e-09	-6.631704733973e-13	1.375193834305e+00
-6.150000000000e+02	3.143915819237e-05	1.265170226361e-06	-7.867356544011e-07	0.000000000000e+00	-5.728627350265e-09	3.242784187875e-13	1.385201811790e+00
-6.050000000000e+02	3.146017843392e-05	1.264274374080e-06	-7.450808539033e-07	0.000000000000e+00	-5.994246876639e-09	-1.185917032978e-12	1.395181059837e+00
-5.950000000000e+02	3.163894871250e-05	1.268943719879e-06	-7.541889317508e-07	0.000000000000e+00	-6.370361571584e-09	-3.040697251280e-12	1.405167460442e+00
-5.850000000000e+02	3.196235047653e-05	1.273421730730e-06	-8.210160444833e-07	0.000000000000e+00	-6.936101915045e-09	-3.226951908811e-12	1.415177702904e+00
-5.750000000000e+02	3.228401692468e-05	1.278091986023e-06	-8.952455914368e-07	0.000000000000e+00	-7.416799618909e-09	-3.330679048535e-12	1.425200223923e+00
-5.650000000000e+02	3.252904934925e-05	1.282307948713e-06	-9.663476703281e-07	0.000000000000e+00	-7.864610296338e-09	-3.116676187964e-12	1.435245037079e+00
-5.550000000000e+02	3.286326682428e-05	1.285544385610e-06	-9.367792586090e-07	0.000000000000e+00	-8.366192183473e-09	-9.130379828928e-13	1.445293426514e+00
-5.450000000000e+02	3.327538433950e-05	1.283721871914e-06	-8.623985650047e-07	0.000000000000e+00	-8.676024343401e-09	6.709758616774e-13	1.455317258835e+00
-5.350000000000e+02	3.364244184922e-05	1.283661276830e-06	-7.611934620400e-07	0.000000000000e+00	-9.508242193590e-09	-1.851044681032e-13	1.465340495110e+00
-5.250000000000e+02	3.376635140739e-05	1.284221298192e-06	-7.464327609341e-07	0.000000000000e+00	-1.064662669137e-08	-4.266163431636e-13	1.475346446037e+00
-5.150000000000e+02	3.377109169378e-05	1.284760855924e-06	-7.344486334659e-07	0.000000000000e+00	-1.055655385329e-08	-2.912495006453e-13	1.485352039337e+00
-5.050000000000e+02	3.381595524843e-05	1.284993686568e-06	-6.923908699719e-07	0.000000000000e+00	-9.016547508622e-09	-8.459653333751e-13	1.495380997658e+00
-4.950000000000e+02	3.380825728527e-05	1.286619522034e-06	-5.958078759249e-07	0.000000000000e+00	-8.181695321241e-09	-2.269108512198e-12	1.505434155464e+00
-4.850000000000e+02	3.411816214793e-05	1.290331738346e-06	-5.133462082085e-07	0.000000000000e+00	-8.264413153825e-09	-1.820464352181e-12	1.515492200851e+00
-4.750000000000e+02	3.483628097456e-05	1.289943156735e-06	-5.669600113833e-07	0.000000000000e+00	-9.075707296802e-09	1.695215799333e-12	1.525546550751e+00
-4.650000000000e+02	3.560304685379e-05	1.284561335524e-06	-8.090967185126e-07	0.000000000000e+00	-1.084477041502e-08	2.320637172010e-12	1.535588979721e+00
-4.550000000000e+02	3.655214459286e-05	1.282811922465e-06	-1.136001515079e-06	0.000000000000e+00	-1.199976562560e-08	-1.475498868052e-13	1.545632719994e+00
-4.450000000000e+02	3.753336932277e-05	1.283406504626e-06	-1.481892240918e-06	0.000000000000e+00	-1.259783211083e-08	-2.362132191236e-12	1.555676460266e+00
-4.350000000000e+02	3.798569377977e-05	1.288044927605e-06	-1.707225692371e-06	0.000000000000e+00	-1.307643948678e-08	-1.978073304112e-12	1.565717935562e+00
-4.250000000000e+02	3.817016477115e-05	1.287437612518e-06	-1.692434466349e-06	0.000000000000e+00	-1.344348188326e-08	-5.183438856089e-13	1.575810790062e+00
-4.150000000000e+02	3.839516648441e-05	1.284309632865e-06	-1.521593503639e-06	0.000000000000e+00	-1.476968325420e-08	-6.959529740697e-12	1.585908055305e+00
-4.050000000000e+02	3.894854307873e-05	1.291632315770e-06	-1.250729496860e-06	0.000000000000e+00	-1.742056809917e-08	-2.537534245228e-11	1.596023678780e+00
-3.950000000000e+02	4.014072328573e-05	1.321800255027e-06	-1.043147904056e-06	0.000000000000e+00	-2.025545420281e-08	-6.733648361124e-11	1.606170535088e+00
-3.850000000000e+02	4.208516111248e-05	1.391401156070e-06	-1.204661543852e-06	0.000000000000e+00	-2.502906859547e-08	-1.882959205224e-10	1.616453289986e+00
-3.750000000000e+02	4.503873060457e-05	1.549327635075e-06	-1.617816224098e-06	0.000000000000e+00	-3.042421425903e-08	-6.309647804237e-10	1.626970887184e+00
-3.650000000000e+02	4.985376290279e-05	1.974999804588e-06	-2.716280278037e-06	0.000000000000e+00	-2.971888157788e-08	-2.149350475378e-09	1.637963771820e+00
-3.550000000000e+02	5.676851651515e-05	3.221058477720e-06	-4.720751803688e-06	0.000000000000e+00	-2.001521437478e-08	-6.986075273829e-09	1.650032401085e+00
