z	tke_res	tke_sbg	wt_res	wt_sbg	wtke_res	wtke_sbg	temp	u	wu_sbg	wu_res
-9.950000000000e+02	4.026063470519e-05	1.558135750201e-06	7.955189573750e-08	0.000000000000e+00	-1.504269625530e-10	5.001256700443e-11	1.014940381050e+00	5.085314624012e-04	0.000000000000e+00	-2.980673130537e-08
-9.850000000000e+02	3.775089135161e-05	1.412840902049e-06	-7.152661396503e-08	0.000000000000e+00	-3.752911592603e-10	8.982024152226e-11	1.018247485161e+00	8.344120578840e-04	0.000000000000e+00	-4.486840055051e-08
-9.750000000000e+02	3.107247903245e-05	1.291201101594e-06	9.043706938883e-08	0.000000000000e+00	6.307659949911e-10	6.484345699276e-11	1.027062416077e+00	1.315116416663e-03	0.000000000000e+00	-2.065631576897e-07
-9.650000000000e+02	2.663755367394e-05	1.212545157614e-06	-2.081080623384e-07	0.000000000000e+00	2.566557855133e-09	4.356863481103e-11	1.036945343018e+00	1.582226715982e-03	0.000000000000e+00	-4.863294975621e-07
-9.550000000000e+02	2.632352152432e-05	1.153908215201e-06	-4.055945055370e-07	0.000000000000e+00	4.686222521144e-09	2.761618711489e-11	1.045904636383e+00	1.745243440382e-03	0.000000000000e+00	-7.418210543619e-07
-9.450000000000e+02	2.883394517994e-05	1.125001972468e-06	-7.887265383033e-07	0.000000000000e+00	5.849127848734e-09	1.038313705848e-11	1.055313348770e+00	1.903053489514e-03	0.000000000000e+00	-9.154391023003e-07
-9.350000000000e+02	3.242862294428e-05	1.120756905948e-06	-9.913301255438e-07	0.000000000000e+00	5.718311602010e-09	-1.933700161799e-12	1.064562916756e+00	1.978380838409e-03	0.000000000000e+00	-9.903283171298e-07
-9.250000000000e+02	3.580198972486e-05	1.131285216616e-06	-1.066007826012e-06	0.000000000000e+00	3.687845806510e-09	-9.432526808240e-12	1.074245810509e+00	1.965330680832e-03	0.000000000000e+00	-9.615307590138e-07
-9.150000000000e+02	3.844033199130e-05	1.151050696535e-06	-9.022820677274e-07	0.000000000000e+00	9.205366469089e-10	-1.501627121259e-11	1.084028244019e+00	1.904467586428e-03	0.000000000000e+00	-8.444043260170e-07
-9.050000000000e+02	3.990111144958e-05	1.178785737466e-06	-6.676273187622e-07	0.000000000000e+00	-2.094190154622e-09	-1.819103721823e-11	1.094084739685e+00	1.848574960604e-03	0.000000000000e+00	-6.914506798239e-07
